,t,id,age,parent_ring,theta1,theta2
314,2,2,0,3,1.5353981633974483,1.9280972450961724
315,2,3,10,3,1.9280972450961724,2.3207963267948966
316,2,4,9,3,2.3207963267948966,2.7134954084936207
317,2,5,10,3,2.7134954084936207,3.106194490192345
318,2,6,7,3,3.106194490192345,3.498893571891069
319,2,7,8,3,3.498893571891069,3.891592653589793
320,2,8,8,3,3.891592653589793,4.284291735288518
321,2,9,7,3,4.284291735288518,4.676990816987241
322,2,10,8,3,4.676990816987241,5.069689898685965
323,2,11,9,3,5.069689898685965,5.46238898038469
324,2,12,8,3,5.46238898038469,5.855088062083414
325,2,13,7,3,5.855088062083414,6.247787143782139
326,2,14,8,3,6.247787143782138,6.640486225480862
327,2,15,9,3,6.640486225480862,7.033185307179586
328,2,0,9,4,0.6000000000000001,0.9141592653589794
329,2,1,9,4,0.9141592653589794,1.2283185307179587
330,2,2,0,4,1.2283185307179587,1.542477796076938
331,2,3,10,4,1.542477796076938,1.8566370614359173
332,2,4,8,4,1.8566370614359173,2.1707963267948966
333,2,5,8,4,2.1707963267948966,2.484955592153876
334,2,6,10,4,2.484955592153876,2.7991148575128553
335,2,7,8,4,2.7991148575128553,3.1132741228718346
336,2,8,8,4,3.1132741228718346,3.427433388230814
337,2,9,0,4,3.427433388230814,3.741592653589793
338,2,10,9,4,3.741592653589793,4.055751918948772
339,2,11,8,4,4.055751918948772,4.369911184307751
340,2,12,10,4,4.369911184307751,4.684070449666731
341,2,13,0,4,4.684070449666731,4.99822971502571
342,2,14,9,4,4.99822971502571,5.312388980384689
343,2,15,9,4,5.312388980384689,5.626548245743669
344,2,16,7,4,5.626548245743669,5.940707511102648
345,2,17,8,4,5.940707511102648,6.254866776461627
346,2,18,8,4,6.254866776461627,6.569026041820607
347,2,19,8,4,6.569026041820607,6.883185307179586
348,2,0,0,5,0.5,0.7617993877991494
349,2,1,10,5,0.7617993877991494,1.0235987755982987
350,2,2,10,5,1.0235987755982987,1.2853981633974483
351,2,3,9,5,1.2853981633974483,1.5471975511965976
352,2,4,8,5,1.5471975511965976,1.808996938995747
353,2,5,7,5,1.808996938995747,2.0707963267948966
354,2,6,7,5,2.0707963267948966,2.3325957145940457
355,2,7,10,5,2.3325957145940457,2.5943951023931953
356,2,8,9,5,2.5943951023931953,2.856194490192345
357,2,9,10,5,2.856194490192345,3.1179938779914944
358,2,10,9,5,3.117993877991494,3.3797932657906435
359,2,11,8,5,3.3797932657906435,3.641592653589793
360,2,12,7,5,3.641592653589793,3.9033920413889427
361,2,13,0,5,3.9033920413889422,4.165191429188091
362,2,14,9,5,4.165191429188091,4.426990816987241
363,2,15,10,5,4.4269908169872405,4.6887902047863905
364,2,16,9,5,4.6887902047863905,4.95058959258554
365,2,17,8,5,4.95058959258554,5.212388980384689
366,2,18,7,5,5.21238898038469,5.474188368183839
367,2,19,9,5,5.474188368183839,5.735987755982988
368,2,20,9,5,5.735987755982988,5.997787143782137
369,2,21,8,5,5.997787143782138,6.259586531581287
370,2,22,7,5,6.259586531581287,6.521385919380436
371,2,23,8,5,6.521385919380436,6.783185307179585
372,2,0,9,6,0.42857142857142855,0.6529709038278424
373,2,1,10,6,0.6529709038278424,0.8773703790842562
374,2,2,9,6,0.8773703790842562,1.10176985434067
375,2,3,8,6,1.10176985434067,1.3261693295970838
376,2,4,10,6,1.3261693295970838,1.5505688048534976
377,2,5,9,6,1.5505688048534976,1.7749682801099114
378,2,6,7,6,1.7749682801099114,1.9993677553663252
379,2,7,9,6,1.9993677553663252,2.2237672306227387
380,2,8,10,6,2.2237672306227387,2.4481667058791525
381,2,9,8,6,2.4481667058791525,2.6725661811355663
382,2,10,10,6,2.6725661811355663,2.89696565639198
383,2,11,10,6,2.89696565639198,3.121365131648394
384,2,12,7,6,3.121365131648394,3.3457646069048077
385,2,13,0,6,3.3457646069048077,3.5701640821612215
386,2,14,8,6,3.5701640821612215,3.7945635574176353
387,2,15,8,6,3.7945635574176353,4.0189630326740495
388,2,16,9,6,4.0189630326740495,4.243362507930463
389,2,17,0,6,4.243362507930463,4.467761983186877
390,2,18,0,6,4.467761983186877,4.692161458443291
391,2,19,9,6,4.692161458443291,4.916560933699705
392,2,20,9,6,4.916560933699705,5.1409604089561185
393,2,21,8,6,5.1409604089561185,5.365359884212532
394,2,22,8,6,5.365359884212532,5.589759359468946
395,2,23,8,6,5.589759359468946,5.81415883472536
396,2,24,9,6,5.81415883472536,6.038558309981774
397,2,25,8,6,6.038558309981774,6.2629577852381875
398,2,26,9,6,6.2629577852381875,6.487357260494601
399,2,27,8,6,6.487357260494601,6.711756735751015
400,2,0,8,7,0.375,0.5713495408493621
401,2,1,9,7,0.5713495408493621,0.7676990816987241
402,2,2,9,7,0.7676990816987241,0.9640486225480862
403,2,3,8,7,0.9640486225480862,1.1603981633974483
404,2,4,7,7,1.1603981633974483,1.3567477042468103
405,2,5,9,7,1.3567477042468103,1.5530972450961724
406,2,6,8,7,1.5530972450961724,1.7494467859455345
407,2,7,8,7,1.7494467859455345,1.9457963267948966
408,2,8,9,7,1.9457963267948966,2.142145867644259
409,2,9,9,7,2.142145867644259,2.3384954084936207
410,2,10,7,7,2.3384954084936207,2.5348449493429825
411,2,11,9,7,2.5348449493429825,2.731194490192345
412,2,12,10,7,2.731194490192345,2.927544031041707
413,2,13,8,7,2.927544031041707,3.1238935718910694
414,2,14,7,7,3.123893571891069,3.320243112740431
415,2,15,0,7,3.320243112740431,3.516592653589793
416,2,16,10,7,3.516592653589793,3.7129421944391554
417,2,17,9,7,3.7129421944391554,3.9092917352885177
418,2,18,9,7,3.9092917352885173,4.105641276137879
419,2,19,0,7,4.105641276137879,4.301990816987241
420,2,20,0,7,4.301990816987241,4.498340357836604
421,2,21,10,7,4.498340357836604,4.694689898685966
422,2,22,8,7,4.694689898685965,4.891039439535327
423,2,23,10,7,4.891039439535327,5.08738898038469
424,2,24,9,7,5.08738898038469,5.283738521234052
425,2,25,9,7,5.283738521234052,5.480088062083414
426,2,26,7,7,5.480088062083414,5.6764376029327765
427,2,27,9,7,5.676437602932776,5.872787143782138
428,2,28,9,7,5.872787143782138,6.0691366846315
429,2,29,8,7,6.0691366846315,6.2654862254808625
430,2,30,10,7,6.265486225480862,6.461835766330224
431,2,31,7,7,6.461835766330224,6.658185307179586
432,3,0,6,0,4.0,5.570796326794897
433,3,1,7,0,5.570796326794897,7.141592653589793
434,3,2,0,0,7.141592653589793,8.71238898038469
